id,progeny,DFF2013,DM2013,HT2013,BIO2013,YLKGHA2013,HI2013,x100SDWT2013,DFF2014,DM2014,PHAVG2014,BIO2014,YLKGHA2014,x100SDWT2014,HI2014
1,ICCML10001,38.01958466,98.08338165,33.5317688,214.0715027,1388.749756,0.577543557,19.46380234,45.91618729,75.99999237,29.78617477,270.2099915,1305.061279,18.26441002,0.579149187
2,ICCML10002,49.1240387,90.02274323,32.8370285,230.1818695,1610.950073,0.629854798,19.19810295,47.13074493,86.99998474,33.93701172,450.3100586,2195.538086,19.39388275,0.586463392
3,ICCML10003,39.07181168,92.29561615,41.27191925,290.666748,2222.000244,0.686639369,28.00354767,51.10392761,83.00000763,34.66615677,251.237442,1012.84491,22.38714027,0.483875126
4,ICCML10004,51.38516617,96.87113953,38.51863098,335.2939758,2110.900146,0.575799048,23.58503723,50.15756607,87.00000763,39.27527618,271.3032532,802.178772,24.66495132,0.36019361
5,ICCML10005,35.1240387,89.02274323,37.8370285,374.7692871,2222,0.533579707,25.49910355,49.88936996,80.00000763,40.35336685,322.83255,1602.858887,21.58434486,0.594221652
6,ICCML10006,49.96735764,94.90145874,40.3728714,315.0000305,2455.310059,0.699542582,31.20611572,52.75527191,82,28.42653084,299.7890625,1176.862427,28.94977188,0.472567976
7,ICCML10007,35.07181168,89.29561615,32.93858337,199.3750763,1522.07019,0.685713291,23.18354797,46.91618729,81.99999237,32.78617477,375.2099915,1923.313843,25.09368896,0.614596605
8,ICCML10008,37.50502396,95.26475525,41.06940842,353.9089966,2299.769775,0.589311302,23.98142815,49.10392761,84.00000763,34.33282471,381.2374573,1913.067993,22.17527771,0.60188359
9,ICCML10009,49.01958466,96.08338165,41.19843674,274.2857666,1688.719727,0.547792971,28.83380127,50.91618729,80.99999237,33.78617477,400.2099915,1252.832153,24.42136383,0.37488988
10,ICCML10010,47.07181168,90.29561615,35.27191925,291.7778625,2255.330322,0.69430095,30.98354721,52.75527191,84,39.42653275,398.7890625,1747.634033,28.41752052,0.527449131
11,ICCML10011,52.50502396,102.2647552,36.06940842,252.9522705,1310.979858,0.470906317,22.29142761,54.07710648,93,36.99906921,429.7657166,1700.819336,20.27061462,0.474650443
12,ICCML10012,35.1240387,92.02274323,40.50369644,267.6522217,1833.150146,0.616389692,28.22810364,49.15756607,85.00000763,46.60860825,556.3032227,2479.424316,23.90709877,0.541529655
13,ICCML10013,51.1762619,96.23497772,37.37347031,357.0000305,2110.899658,0.528570592,20.09439278,49.91618729,82.99999237,33.78617477,350.2099915,969.2788696,18.71237755,0.331347048
14,ICCML10014,35.7507515,89.32593536,38.02490234,307.8095093,1877.589966,0.549069881,18.74757195,48.15756607,79.00000763,30.27527618,466.3032532,1869.001831,21.60804749,0.48739478
15,ICCML10015,47.96735764,93.90145874,31.3728714,327.1304626,2077.570068,0.569592714,20.94611549,49.96982956,91,34.88973999,450.5519409,2401.788574,20.26210213,0.637333989
16,ICCML10016,50.50502396,95.26475525,37.06940842,317.6469727,1855.369873,0.530156076,20.39142799,48.07710648,83,35.99906921,279.7657166,1165.700073,21.14513588,0.49959895
17,ICCML10017,33.96735764,88.90145874,25.03953934,247.2727509,1699.829956,0.616705239,18.26611519,48.15756607,79.00000763,32.94194412,296.3032532,1250.999146,18.73107529,0.510611773
18,ICCML10018,53.7507515,92.32593536,41.69157028,347.7272644,1788.709961,0.463035583,24.30757332,49.96982956,89,32.55640793,220.5519409,846.4110107,19.62972069,0.458464265
19,ICCML10019,45.96735764,94.90145874,42.03953552,266.0869751,1655.390015,0.557922602,19.74611664,49.96982956,85,30.8897419,390.5519409,1340.796387,20.0954361,0.409318566
20,ICCML10020,51.07181168,92.29561615,35.93858337,238.666748,1477.630249,0.555828571,21.20354843,49.88936996,85.00000763,33.68669891,396.83255,1760.712402,21.79323196,0.529896319
21,ICCML10021,50.1240387,90.02274323,35.17036057,251.2941589,2022.020142,0.724168897,18.69810295,48.15756607,83.00000763,41.27527618,466.3032532,1982.872925,19.23129654,0.51647985
22,ICCML10022,46.07181168,90.29561615,36.27191925,249.666748,1777.60022,0.63942045,21.27354813,49.96982956,84,37.55640793,400.5519409,2298.246826,21.84664726,0.686350644
23,ICCML10023,46.7507515,92.32593536,34.69157028,263.2941284,1688.719971,0.577330172,21.73757172,49.10392761,85.00000763,34.66615677,451.2374573,2052.012451,22.63624573,0.544937372
24,ICCML10024,45.7507515,92.32593536,41.69157028,224.4705811,711.0400391,0.285144359,20.43757248,47.13074493,82.99998474,34.93701172,300.3100586,1451.919067,22.10207939,0.581752241
25,ICCML10025,41.1240387,90.02274323,40.8370285,309.1304932,1822.040161,0.530438364,20.32810402,46.91618729,78.99999237,37.4528389,255.2099915,951.0361328,21.59440994,0.446615398
26,ICCML10026,44.1240387,88.02274323,36.17036057,178.0714722,1044.340088,0.52779603,15.91810417,53.75527191,85,37.09319687,419.7890625,1935.05896,15.51902866,0.554729819
27,ICCML10027,48.07181168,91.29561615,37.60525131,390.8334351,3655.190186,0.840357006,23.11354828,47.07710648,79,32.66573715,329.7657166,1313.890747,19.54894257,0.477782935
28,ICCML10028,47.96735764,94.90145874,41.03953552,206.6667023,1199.880005,0.520535886,17.79611588,50.88936996,85.00000763,34.35336685,146.83255,537.7017822,17.28656578,0.439954817
29,ICCML10029,51.1762619,97.23497772,38.37347031,291.8571777,1777.599731,0.544571102,17.79439354,47.91618729,80.99999237,34.11950684,250.2099915,1085.065918,22.39064026,0.519929945
