id,progeny,pop,FT_fi_l,FT_ri_l,FT_fi_s,FT_ri_s,GI_fi_s,GS_ri_s,Matruity_fi_s,Matruity_ri_s,GY_fi_s,GY_ri_s,SS_fi_s,SS_ri_s
1,MAGIC001,MAGIC,60,68,52,52,2,2,106,120,1467.38,281.82,17.65,10.7
2,MAGIC002,MAGIC,44,46,39,35,1,2,74,74,643.09,355.01,17.6,19.7
3,MAGIC003,MAGIC,47,48,39,38,1,1,95,85,1156.96,208.62,19.75,21.6
4,MAGIC004,MAGIC,53,57,47,44,4,2,92,120,1160.35,209.02,20.15,17.6
5,MAGIC005,MAGIC,45,48,38,38,3,2,78,74,1756.15,203.93,20.9,20.6
6,MAGIC006,MAGIC,48,54,39,36,2,2,74,65,1502.22,381.99,15.25,18.25
7,MAGIC008,MAGIC,53,55,42,40,1,2,81,92,1219.81,232.89,15.15,19.9
8,MAGIC009,MAGIC,45,47,38,37,2,2,72,86,2348.69,485.58,14.05,16.1
9,MAGIC010,MAGIC,47,56,35,34,2,2,65,76,924,364.86,11.2,13.45
10,MAGIC011,MAGIC,90,69,44,40,3,2,78,69,1347.97,273.96,10.5,12.95
11,MAGIC012,MAGIC,53,58,41,40,3,2,78,74,1821.42,676.36,18.2,22.3
12,MAGIC013,MAGIC,46,49,42,43,2,2,78,85,552.68,233.28,11.6,14.4
13,MAGIC015,MAGIC,59,70,44,44,3,2,78,74,1876.41,922.17,14.7,16.5
14,MAGIC016,MAGIC,64,70,41,39,1,1,78,85,1051.18,400.74,13.05,17.7
15,MAGIC017,MAGIC,72,70,45,43,3,2,92,120,1460.34,349.92,17.55,16.9
16,MAGIC018,MAGIC,64,69,39,38,1,1,78,86,819.72,637.88,14.95,22.35
17,MAGIC019,MAGIC,64,70,46,47,3,2,89,120,1552.58,273.6,17.6,15.5
18,MAGIC020,MAGIC,73,77,43,41,3,2,85,85,1367.28,498.66,16.7,17.7
19,MAGIC021,MAGIC,59,61,43,43,2,1,99,120,1700.7,311.96,18.4,19.6
20,MAGIC022,MAGIC,90,69,42,37,3,2,72,69,1007.89,372.89,22.8,24.15
21,MAGIC023,MAGIC,56,56,43,41,3,2,78,83,1127.34,355.01,12.75,14.2
22,MAGIC024,MAGIC,44,47,38,34,1,2,69,65,924,338.9,13.35,14.2
23,MAGIC025,MAGIC,59,63,41,39,2,2,78,86,1155.95,407.72,12.75,16.1
24,MAGIC027,MAGIC,61,68,47,44,3,2,95,120,1154.77,137,12.45,11.2
25,MAGIC028,MAGIC,61,82,46,45,4,2,85,117,1233.54,248.94,12.85,10.4
26,MAGIC029,MAGIC,42,44,36,35,1,1,69,69,1430.75,263.03,23.85,25.9
27,MAGIC030,MAGIC,51,59,45,43,2,2,99,120,1375.11,228.19,9.95,8.3
28,MAGIC031,MAGIC,57,69,43,39,3,2,85,82,1507.5,326.21,14.7,17.8
29,MAGIC032,MAGIC,61,70,45,46,3,2,85,74,1386.13,485.35,13.3,14.7
30,MAGIC033,MAGIC,56,56,40,39,2,2,74,69,1495.89,440.34,14.75,17.1
31,MAGIC034,MAGIC,52,54,41,40,2,2,89,92,1315.38,502.74,17.3,19.1
32,MAGIC035,MAGIC,47,NA,42,36,3,2,74,83,1015.88,547.85,13.55,14.65
33,MAGIC036,MAGIC,90,80,47,53,2,1,82,99,1099.42,243.07,14.4,11.7
34,MAGIC037,MAGIC,45,70,39,36,2,1,78,74,1836.81,331.92,25.7,27
35,MAGIC038,MAGIC,50,54,42,42,3,2,99,99,1035.06,160.09,20.95,17.5
36,MAGIC039,MAGIC,64,70,41,40,1,2,78,92,1534.9,412.49,18.6,24
37,MAGIC040,MAGIC,50,53,43,41,2,2,81,99,1641.43,319.79,13.65,13.6
38,MAGIC041,MAGIC,62,63,43,41,2,2,82,69,913.17,414.57,12.6,17.95
39,MAGIC042,MAGIC,90,77,47,46,3,1,89,85,1244.5,410.72,18.05,20.05
40,MAGIC043,MAGIC,50,56,42,40,4,2,85,120,1470.06,355.01,14.6,12.2
41,MAGIC044,MAGIC,50,54,46,42,3,2,95,92,1365.91,335.44,10.8,11.5
42,MAGIC045,MAGIC,46,46,38,36,2,2,76,76,1117.75,352.66,14.7,12.7
43,MAGIC046,MAGIC,63,68,45,43,4,3,85,117,1099.97,506.88,18.7,19.4
44,MAGIC047,MAGIC,55,59,49,43,2,2,95,120,1984.28,668.15,13.85,14.3
45,MAGIC048,MAGIC,56,56,40,37,1,1,72,74,1075.35,288.47,13.7,13.6
46,MAGIC049,MAGIC,90,87,44,44,2,1,82,85,1104.7,367.7,17.3,20.5
47,MAGIC050,MAGIC,64,71,49,45,2,2,99,120,1177.51,419.92,24.5,26.6
48,MAGIC051,MAGIC,64,69,46,43,2,2,85,74,989.5,342.94,12.8,14.55
49,MAGIC052,MAGIC,45,45,38,36,3,2,72,74,1022.21,396.96,13.1,15
50,MAGIC053,MAGIC,56,77,45,44,2,2,85,85,1158.69,359.68,13,16.4
51,MAGIC054,MAGIC,63,70,40,37,2,1,78,96,1269.75,280.35,19.45,20.5
52,MAGIC055,MAGIC,46,49,39,36,2,2,78,82,930.78,490.02,11.4,17.25
53,MAGIC057,MAGIC,70,81,45,46,3,2,99,120,811.79,425.47,18.9,22.9
54,MAGIC058,MAGIC,56,60,42,39,1,1,85,74,1074.43,397.29,14.9,18.7
55,MAGIC059,MAGIC,56,65,49,49,2,2,99,120,339.75,209.8,13.5,14.1
56,MAGIC060,MAGIC,56,65,39,38,2,2,74,69,1408.73,816.88,16.75,16
57,MAGIC061,MAGIC,49,54,45,43,3,2,85,120,675.16,271.77,14.55,18.52
58,MAGIC062,MAGIC,52,52,38,48,3,2,81,85,697.11,316.65,19,24.4
59,MAGIC064,MAGIC,47,47,37,36,2,1,78,74,1744.93,496.31,20.5,21.5
60,MAGIC065,MAGIC,46,46,38,36,1,1,74,72,537.02,351.33,15.7,16.9
61,MAGIC066,MAGIC,49,52,41,37,3,2,85,85,1752.14,735.47,19,22
62,MAGIC067,MAGIC,90,NA,56,57,2,2,106,120,1733.64,579.69,13.3,9.2
63,MAGIC068,MAGIC,49,47,40,39,2,2,85,81,1649.68,571.34,21.1,24.5
64,MAGIC069,MAGIC,47,47,38,36,2,2,78,78,433.69,452.87,10.2,15.35
65,MAGIC070,MAGIC,45,42,39,36,1,2,74,72,1344.93,507.24,15.05,16.3
66,MAGIC072,MAGIC,48,49,42,40,2,1,95,106,1259.28,561,11.4,14.3
67,MAGIC073,MAGIC,46,46,39,39,2,2,74,78,1115.08,623.92,15.4,19.15
68,MAGIC074,MAGIC,70,46,39,37,2,2,81,76,1488.26,621.08,14.05,17.1
69,MAGIC075,MAGIC,61,58,42,37,2,1,95,85,1318.38,618.83,11.6,9.8
70,MAGIC076,MAGIC,60,57,44,42,2,2,99,103,1228.49,669.71,11.7,12.8
