id,progeny,family,GDDTA_summer,GDDTS_summer,PH_summer,EH_summer,TLN_summer,GDDTA_winter,GDDTS_winter,PH_winter,EH_winter,TLN_winter
1,05CL_2681,B73xCML254,1069.562989,1141.880743,156.3286545,60.07273152,21.2137255,983.3537027,1018.101566,138.4054814,67.42326024,19.5481273
2,05CL_2682,B73xCML254,1086.193734,1153.133797,152.4958931,67.20976327,23.51995556,906.3686553,913.7026898,137.829902,63.28217845,19.30742484
3,05CL_2686,B73xCML254,1071.057436,1168.558063,176.260504,84.91652531,22.50245232,915.9642529,928.3440426,128.9821779,61.47733679,18.17771196
4,05CL_2689,B73xCML254,933.1654993,987.3822453,171.7554967,77.76764799,22.36710739,880.2597386,899.4422857,151.9432151,72.48281326,19.00487537
5,05CL_2690,B73xCML254,989.2697738,1050.018149,147.8846434,66.43447288,22.2693601,933.4936355,940.9447633,124.7406183,67.63061202,19.17971936
6,05CL_2691,B73xCML254,955.964769,1022.974783,150.2401249,65.30954098,20.87454162,874.8856859,885.550579,131.8046448,54.99112289,16.59237204
7,05CL_2692,B73xCML254,990.2261884,1030.675556,195.9877535,87.85385007,20.83060843,923.1823178,929.5635069,143.2923346,71.97999291,17.90400571
8,05CL_2693,B73xCML254,1038.787513,1111.394225,178.2631316,79.91073615,23.71495753,946.8792749,934.1631765,133.3290302,61.50314592,18.9535717
9,05CL_2694,B73xCML254,978.5434105,1008.605879,164.6224763,74.51136203,21.91869451,901.860379,907.3982888,136.6905925,64.27684129,18.07694384
10,05CL_2695,B73xCML254,996.7130446,1025.135292,178.5818037,71.41894742,20.37882942,908.5286322,898.9156365,146.3646915,68.84382954,16.85073712
11,05CL_2696,B73xCML254,1024.1425,1097.036144,181.050442,76.39980046,21.91045731,880.4492992,891.3690702,149.9276701,75.14193806,18.24264643
12,05CL_2697,B73xCML254,1083.887189,1139.175423,168.0744781,72.6216643,21.81027239,929.8099073,939.2403229,142.4384853,60.75356939,17.82489365
13,05CL_2698,B73xCML254,1007.130638,1058.967629,162.5926907,69.48744731,21.88114369,944.8344842,948.6875679,148.3404462,74.52524985,19.49858008
14,05CL_2699,B73xCML254,1081.153825,1148.940955,160.0094752,72.03266345,24.98840183,1000.925432,1012.756588,135.3670026,65.27250672,21.0114862
15,05CL_2700,B73xCML254,999.4143426,1065.53926,187.2738238,80.48071508,22.57933326,930.6469571,941.9237006,147.509462,73.75178977,18.78982744
16,05CL_2702,B73xCML254,1017.062949,1047.072294,152.1681819,59.45454276,22.4711644,930.3497332,925.3624628,131.6674764,54.46008513,20.50230154
17,05CL_2703,B73xCML254,964.5213767,982.0013385,172.5899656,87.01506703,21.9106972,917.7597586,936.674679,141.5466315,73.29885613,18.75584617
18,05CL_2704,B73xCML254,989.1681781,1052.129128,181.0998161,79.85457029,21.28057018,915.0873781,943.2597043,149.9926399,80.45029537,18.22348207
19,05CL_2705,B73xCML254,945.4688291,990.0236227,168.7044745,73.95875171,22.43641549,959.2016929,971.7097343,138.5659121,73.61935103,19.70548266
20,05CL_2708,B73xCML254,1064.003768,1083.62848,183.1965999,95.09274289,21.4145773,989.6865685,972.7242242,141.1127263,75.88973573,18.65548147
21,05CL_2709,B73xCML254,979.8717439,1011.317947,203.9650227,87.37106552,21.60776616,899.061317,885.4365797,153.5453453,77.27037908,18.56678729
22,05CL_2710,B73xCML254,1029.367786,1053.355748,175.2595422,80.18211736,21.42217067,927.5174938,919.5013533,145.8252755,69.45237851,18.22390698
23,05CL_2711,B73xCML254,945.2351208,985.639095,137.1150907,47.48079785,20.51741015,889.8988933,906.6921737,133.1098392,50.71065435,17.94587308
24,05CL_2712,B73xCML254,953.2693892,1009.707909,165.7886635,66.48588942,21.02395047,903.6625553,921.5891849,141.4682055,65.31427795,18.27101609
25,05CL_2713,B73xCML254,1050.760356,1091.550345,173.3485125,83.96904021,22.51269855,897.070974,902.7015105,139.8807708,74.60437627,18.16714087
26,05CL_2715,B73xCML254,933.986884,952.3668132,167.0197087,79.04145333,19.54678016,902.9306962,898.7182797,135.8885727,59.68402592,16.86171834
27,05CL_2716,B73xCML254,989.1441193,1063.01643,158.8851675,71.97727534,21.88949656,869.6697414,869.6049362,120.6814904,49.40097697,17.8467005
28,05CL_2717,B73xCML254,1044.271713,1070.326125,159.4014094,66.39025928,24.03918501,882.2591066,885.4539126,132.0845805,56.47573256,18.96590718
