id,progeny,family,Mons_DMY,Einbeck_DMY,Wadersloh_DMY,Roggenstein_DMY,Mons_DMC,Einbeck_DMC,Wadersloh_DMC,Roggenstein_DMC,Mons_PH,Einbeck_PH,Wadersloh_PH,Roggenstein_PH,Mons_DtTAS,Einbeck_DtTAS,Wadersloh_DtTAS,Roggenstein_DtTAS,Mons_DtSILK,Einbeck_DtSILK,Wadersloh_DtSILK,Roggenstein_DtSILK,Mons_NBPL,Einbeck_NBPL,Wadersloh_NBPL,Roggenstein_NBPL
1,CFD02-003,CFD02,182.3356309,NA,173.3684986,NA,37.61864851,NA,28.93238896,NA,256.7529962,NA,313.7398861,NA,88.50141942,NA,NA,NA,89.49863848,NA,84.06762514,NA,79.74241977,NA,69.75308697,NA
2,CFD02-006,CFD02,171.9547504,200.562237,159.2931583,243.2910771,38.32334935,28.30472917,33.96415476,34.38376793,229.1030187,297.0398159,280.3215875,312.5837357,86.62390858,85.5919179,73.96893264,84.45445048,86.95945791,86.33313755,78.06974543,85.04033025,78.84881466,84.60754454,72.67937944,76.33492864
3,CFD02-010,CFD02,207.5641192,236.5377535,159.3822957,228.1429705,37.65272738,28.14516876,30.7920145,32.11725306,249.7630675,310.9984546,306.8116999,331.1234398,89.81646127,86.75074417,73.94316952,89.15494109,90.20546311,86.73775644,80.0392807,87.0007416,78.95220583,91.87632325,68.74452483,86.81044976
4,CFD02-024,CFD02,185.0987659,218.937753,160.7206666,214.4434729,39.11166472,28.20886739,30.50541549,31.29524019,244.7368347,311.7680961,299.4583991,312.1358519,87.56785629,86.68470523,73.7528275,85.83884101,87.95433127,86.69368437,81.52079211,90.46023584,79.87933163,88.60261411,61.59264158,85.22861263
5,CFD02-027,CFD02,206.4614024,226.2499986,185.2390221,221.0189381,43.64898466,29.90319803,34.31334077,30.1567619,254.3567681,310.1187574,300.5070013,324.8217546,84.09361202,83.62990588,74.03318334,82.81466861,84.52082669,83.60875335,76.31156402,78.77242844,78.80747897,92.69345834,76.93682949,84.45231388
6,CFD02-036,CFD02,180.2830929,223.2377598,162.6781257,215.8622052,41.34856057,27.71709522,31.57069236,33.22084958,252.1009473,308.8947202,296.8053397,315.9962551,85.68738799,85.45904784,74.06918496,83.60342254,85.50251002,89.63195475,77.69904234,86.35488244,79.91665333,95.52520489,69.35317839,86.24243637
7,CFD02-038,CFD02,175.1865613,241.7500011,168.5975068,252.3637509,38.91519103,29.62328178,31.25546497,37.86504145,256.9398233,316.022594,321.3370417,338.8782633,87.1139263,86.77802619,74.25377505,87.04178357,87.47884559,89.88929392,81.61975858,87.00956381,80.94492944,87.3936285,68.5897359,87.47819581
8,CFD02-041,CFD02,160.3928593,207.5622417,144.9847335,182.1335612,41.08297527,29.81688353,33.66225067,31.82041507,239.397,288.6921391,286.0529635,314.898983,83.30896673,83.37908587,74.03425081,84.00975025,83.9118388,83.28359319,76.29767042,90.1221286,79.09725176,96.26799772,68.56313557,85.38366939
9,CFD02-047,CFD02,172.8275204,212.8622487,164.7652936,205.7025336,44.12428824,30.85391345,32.98045561,34.07918565,249.1642677,309.8634511,298.3883063,336.6905896,86.07952588,87.21177793,73.94878124,85.53701593,85.81856357,87.1943431,79.01940625,88.56491853,78.14652273,86.13005865,70.42716841,82.24766208
10,CFD02-048,CFD02,198.5863546,222.9377515,165.889482,218.7807551,38.7311024,26.72269518,29.88489304,30.8115994,242.4158288,312.8906836,319.2542341,322.4785038,88.78621539,86.7770845,78.99674762,88.31628382,89.70374642,88.73290451,84.24692448,85.37772735,79.98473258,89.01435192,67.66577279,87.39582633
11,CFD02-051,CFD02,161.3121652,212.7377555,148.3596774,211.7616729,45.28512382,30.72633182,34.38145019,34.45686555,224.952136,304.6072275,275.4053567,306.1246136,85.4497704,82.67537411,74.15096464,84.23320128,85.69313274,82.62012725,76.00085298,84.05171454,79.89749629,97.43065554,68.95208052,90.54547373
12,CFD02-053,CFD02,162.7378602,225.2000038,178.8252206,226.2810335,38.70863512,27.83798896,30.25354419,31.20834503,242.4424149,306.0146664,310.3357765,318.1812857,91.63455718,88.30786336,73.84101726,88.75851393,90.80226739,NA,78.37555508,84.13420378,73.31515449,97.3395196,70.36606335,87.35316498
13,CFD02-057,CFD02,197.9865613,202.3000022,166.1854423,202.6810335,41.51519103,28.47156445,31.30278604,32.60834503,244.9398233,306.4188873,300.6180466,338.1812857,86.1139263,86.02129302,73.83771818,84.75851393,86.47884559,88.49521734,80.23028314,84.13420378,80.94492944,93.25537516,73.43298276,87.35316498
14,CFD02-059,CFD02,179.0038253,220.2622441,172.6509782,193.7099286,39.0541365,29.82339353,32.19078328,34.46731437,252.9967321,308.9248122,279.2625414,304.9688899,90.19089785,87.26953988,74.02019669,87.50577298,90.16808183,87.32845713,77.57053621,90.9981933,79.59703382,91.76626826,68.40195347,86.99414765
15,CFD02-060,CFD02,163.4953447,236.4377525,169.4663113,187.3956469,42.98871897,29.53870494,30.28195177,32.9045341,250.6861237,312.7195425,306.7672469,317.9118301,87.17648773,86.69408077,74.00214379,87.55155874,86.87989547,85.76416644,79.20427212,89.66378945,82.55162439,97.91062158,69.08710022,84.92253656
16,CFD02-061,CFD02,198.8752024,251.7499981,169.7606056,248.0875834,38.42693858,28.30741826,29.21465467,32.0452227,261.4320779,321.9730072,330.3961631,331.9907868,87.49704511,87.16114555,74.06178797,87.73686641,87.49454313,88.61861823,81.89143514,85.89904815,74.90354718,94.38971402,70.33574617,86.64425591
17,CFD02-063,CFD02,175.9636829,206.8622417,149.020591,136.8997524,47.53695006,30.51688353,37.4057043,33.02027626,238.5611319,298.6921391,277.8568779,306.0670136,84.92951575,83.37908587,73.85122356,87.75328308,85.02378762,83.28359319,77.27475066,88.79924511,79.91736923,93.26799772,73.56664194,78.63015154
18,CFD02-069,CFD02,184.146029,221.9377488,165.8002184,229.412881,39.0944037,28.13128248,31.56851306,34.35517795,244.6841656,307.2642886,299.7296861,314.2597357,87.5993017,89.59760448,73.97464728,89.80237202,86.50629577,88.64304009,81.162945,90.8779492,80.08030589,97.36184804,73.48479004,79.59096523
19,CFD02-072,CFD02,180.0283158,220.4377598,169.2896852,218.0320093,37.68674756,26.81709522,30.30602319,31.80198718,247.6672002,308.8947202,303.2997717,332.9207911,86.45229589,86.45904784,73.93772218,86.96549485,87.69128272,90.63195475,81.64274679,89.04586447,76.56078916,92.52520489,71.55805437,80.20004888
20,CFD02-073,CFD02,208.7976387,241.9377545,167.5937873,236.4320093,38.06900439,28.39668766,34.70585296,34.00198718,262.1594003,310.7780378,NA,327.9207911,88.6080905,87.60399991,73.99455807,86.96549485,90.07048389,86.72650256,81.2178023,87.04586447,80.08600566,93.60602646,76.02579122,78.20004888
21,CFD02-074,CFD02,170.126657,214.0377537,178.1675693,222.7243585,36.33086735,28.14511466,31.81038604,33.56619052,248.7902987,322.3520474,303.2719817,334.9441281,88.28302035,86.58760553,76.95439098,81.71866287,89.67485951,89.61067664,81.85178117,84.35823402,75.54515954,89.19045238,69.82826124,76.83305584
22,CFD02-075,CFD02,181.6093085,208.5500002,151.7541434,206.9047127,38.63920501,27.92568352,30.17495281,34.90767335,231.588811,305.5669591,291.4754693,295.3410207,85.67339756,85.90228584,74.11399675,85.79084104,86.35149043,86.91333909,82.83306423,89.34663788,79.51980165,98.56730827,75.49159735,89.20376547
23,CFD02-076,CFD02,176.2411956,210.3622378,128.5157539,152.8321417,41.77687,30.61201004,35.08381872,32.90511635,250.2227877,290.1211547,279.7907074,301.7655055,83.90703419,83.15431894,74.32773269,84.69514201,83.09717934,86.21815924,78.3142337,85.16166763,69.94838776,83.48217587,55.01868111,70.08066555
24,CFD02-077,CFD02,205.4807199,252.8622466,172.9826363,247.9300526,42.4760076,28.54063851,32.92144673,31.89450257,242.4440157,318.5441972,305.6986381,331.8824905,85.76250736,85.35613834,74.30208939,86.41539768,85.95490569,86.40677092,76.27882176,84.84274656,80.03320073,87.87665007,74.34849449,82.07953437
25,CFD02-078,CFD02,174.4275204,249.9622427,169.7876037,212.1378425,37.42428824,28.35451001,30.23779867,27.95265621,250.1642677,309.3504217,305.9123876,334.3792347,87.07952588,85.45508874,74.19145266,86.6067277,87.81856357,86.35501195,84.11857342,87.5840707,75.14652273,85.11698798,62.38616141,81.02768378
26,CFD02-079,CFD02,NA,197.4377573,132.8887112,NA,NA,28.87218426,31.48059388,NA,NA,301.6321136,278.6620426,NA,NA,83.546513,73.29098924,NA,NA,86.66998039,78.39420517,NA,NA,NA,NA,NA
27,CFD02-081,CFD02,NA,243.1622466,162.9675735,205.0997524,NA,28.34063851,30.52074202,31.52027626,NA,308.5441972,290.1586352,321.0670136,NA,87.35613834,74.22752601,85.75328308,NA,87.40677092,80.448496,88.79924511,NA,84.87665007,59.82437939,69.63015154
28,CFD02-082,CFD02,169.7485701,215.9377499,165.9616301,209.4057029,38.4268682,25.57845808,29.89271551,30.77935665,259.4899286,308.8357749,304.9376556,338.3405971,87.04493632,86.51298551,74.11309662,87.4781407,88.30733247,89.61953674,80.27900361,88.16922172,79.83617221,90.21857071,67.4446112,83.08225266
29,CFD02-085,CFD02,157.1777416,209.5000018,159.4562808,201.8400258,40.05934402,30.08321288,34.29289857,32.71032347,229.0599349,304.1426611,280.3618726,320.1930602,86.06934463,85.11559292,74.07420298,85.17547483,85.18041984,87.16526613,79.23875423,84.71372707,80.16193308,96.01096558,65.56637057,85.91731425
30,CFD02-086,CFD02,199.9230916,220.3622469,182.197583,274.9540555,38.92221412,28.49722073,29.48706487,34.2192385,250.5913152,310.3291422,308.908401,343.7713235,88.64563478,85.30512224,74.24555157,90.02251412,90.88411822,86.40316203,80.24654875,87.20688187,79.62205569,95.90663621,77.62783442,85.21653161
31,CFD02-090,CFD02,167.9300131,214.3000002,144.6860833,230.4875834,39.59851463,28.83561123,30.19809426,31.3452227,232.751809,315.2586493,289.376419,336.9907868,89.84327461,85.52729005,NA,85.73686641,89.34447416,85.50036429,80.27448557,85.89904815,80.06138583,96.30259793,73.53190832,84.64425591
32,CFD02-091,CFD02,210.6949949,231.5622458,179.7650616,218.917337,38.82169082,28.9125972,30.99058196,30.62537198,252.6751271,312.2607962,319.0816285,345.384225,88.72054708,87.28302827,74.28470958,89.76872084,88.85074663,90.35551408,81.49861472,90.9785047,78.15261373,90.57626491,69.54164681,91.18089143
33,CFD02-092,CFD02,179.2170843,199.9499994,153.1217717,222.7095344,40.64500317,28.0900734,29.57583551,33.47110331,235.6497902,299.3691978,291.9023124,313.6862045,87.6492924,85.91217841,74.05637772,86.59331344,87.9731386,86.99606162,79.75515722,86.64684115,80.00314319,93.6682635,73.27632663,76.70481334
34,CFD02-095,CFD02,167.4552783,235.4622507,173.350444,213.6145605,37.59422021,28.49801423,29.55513277,29.71917935,247.2331567,300.4857272,290.8991675,319.6292578,88.55006809,85.45498052,73.97732007,88.84535436,88.73796459,83.37975804,79.73806342,89.19651609,80.13007495,96.32029795,68.89834154,85.67056933
35,CFD02-097,CFD02,NA,192.7999998,116.2877276,160.5496066,NA,27.81958971,29.85628583,28.9090251,231.4849278,306.8836031,299.9849518,311.4539327,NA,88.87925087,NA,89.61656049,NA,87.45730923,81.76575598,89.84993967,NA,NA,NA,68.53585674
36,CFD02-098,CFD02,143.0762292,233.4622493,173.0807851,223.8937762,39.32266558,28.86211053,32.18679068,33.73939995,239.9911087,312.1217326,299.4157274,322.6403703,85.77831533,85.42291935,73.66618115,83.97392262,86.41277083,85.40515334,82.86314583,90.61706975,69.07978976,93.81046895,67.41239065,85.52854592
37,CFD02-099,CFD02,184.5356309,245.1999995,173.0799919,200.2693108,35.61864851,27.3362321,30.09944199,30.15183683,268.7529962,328.0972305,318.3553746,340.7942266,88.50141942,89.63891054,73.73001438,85.65749841,93.49863848,90.07553172,79.58501922,90.29860694,74.74241977,88.36173396,69.62761583,78.6746445
