id,progeny,family,IA_2012_yield,IA_2013_yield,IL_2012_yield,IL_2013_yield,IN_2012_yield,IN_2013_yield,NE_2012_yield,IA_2012_Yield,IA_2013_Yield,IL_2012_Yield,IL_2013_Yield,IN_2012_Yield,IN_2013_Yield,NE_2012_Yield,IA_2013_Protein,IL_2012_Protein,IL_2013_Protein,IN_2012_Protein,IN_2013_Protein,NE_2012_Protein,NE_2013_Protein,IA_2013_Oil,IL_2012_Oil,IL_2013_Oil,IN_2012_Oil,IN_2013_Oil,NE_2012_Oil,NE_2013_Oil,IA_2013_Fiber,IL_2012_Fiber,IL_2013_Fiber,IN_2012_Fiber,IN_2013_Fiber,NE_2012_Fiber,NE_2013_Fiber,IA_2013_seedWT,IL_2012_seedWT,IL_2013_seedWT,IN_2012_seedWT,IN_2013_seedWT,NE_2012_seedWT,NE_2013_seedWT,mean_Yield,mean_Protein,mean_Oil,mean_Fiber,mean_seedWT
1,DS11.02003,IA3023xTN05.3027,2265,2008,3120,3107,3846,4618,3124,2264.8,2007.7,3120.4,3107,3845.5,4618.3,3124.3,32.79,32.16,32.03,32.99,33.57,34.3,34.12,19.41,20.99,21.82,20.05,20.13,19,20.31,4.93,4.75,4.74,4.82,4.77,4.8,4.69,12.6,16.05,12.8,13.87,13.3,14.3,11,3155.428571,33.13714286,20.24428571,4.785714286,13.41714286
2,DS11.02005,IA3023xTN05.3027,2834,1626,4512,3591,4462,5256,4714,2834.5,1626.1,4512.5,3591.2,4462.5,5255.5,4714.1,32.79,32.87,32.67,35.29,34.38,34.8,35.29,19.11,20.65,21.04,18.83,19.81,19,19.13,4.96,4.75,4.79,4.72,4.78,4.8,4.69,13.4,20.2,14.5,16.8,16.8,16,12.1,3856.628571,34.01285714,19.65285714,4.784285714,15.68571429
3,DS11.02006,IA3023xTN05.3027,2433,1908,3591,3282,3915,4707,4457,2433.1,1908.2,3591.2,3281.8,3915,4706.9,4456.8,32.49,31.65,30.54,33.36,31.68,33,34.1,19.55,20.71,22.02,19.51,20.14,19,19.92,4.91,4.84,4.85,4.85,4.93,5,4.73,14.7,17.34,13.6,14.4,14.8,15.7,12.3,3470.428571,32.40285714,20.12142857,4.872857143,14.69142857
4,DS11.02007,IA3023xTN05.3027,2770,1628,3053,2959,4144,5387,5590,2769.5,1628.4,3053.2,2959,4143.9,5387.1,5590,34.4,33.54,31.82,33.56,34.24,33.4,34.21,18.67,20.42,21.67,19.63,20,19,19.89,4.86,4.73,4.81,4.8,4.74,4.9,4.77,12.8,17.37,14.1,16.41,16.8,16.1,12.9,3647.3,33.59571429,19.89714286,4.801428571,15.21142857
5,DS11.02014,IA3023xTN05.3027,2969,1369,2872,2919,4178,4292,4291,2969.2,1369.2,2871.6,2918.7,4178.3,4292,4291.4,33.62,32.77,33.19,35.4,34.57,36.2,35.78,18.4,20.17,20.7,18.21,19.45,17.7,18.76,5.04,4.81,4.73,4.78,4.72,4.8,4.68,10.8,16.51,13.7,15.12,15.5,13.2,10.9,3270.057143,34.50428571,19.05571429,4.794285714,13.67571429
6,DS11.02017,IA3023xTN05.3027,2310,1693,3040,3228,4602,5263,5190,2309.7,1693.4,3039.7,3228,4602.2,5263.4,5190.4,33.07,33.77,33.22,35.3,35.19,36,35.91,18.44,19.61,20.52,18.64,18.88,18.1,18.79,4.95,4.73,4.78,4.73,4.71,4.7,4.74,12.1,17.95,13.4,15.39,15.1,14.2,11.2,3618.114286,34.63714286,18.99714286,4.762857143,14.19142857
7,DS11.02019,IA3023xTN05.3027,2860,1905,3275,3006,4513,4852,4857,2859.5,1905.2,3275.1,3006.1,4512.8,4852.2,4857.1,33.12,33.47,33.43,36.85,33.87,36.3,35.91,19.99,20.69,21.13,18.79,20.79,18.5,19.26,4.83,4.7,4.72,4.58,4.64,4.7,4.6,13.3,19.06,14.3,16.8,15.5,15.6,11.8,3609.714286,34.70714286,19.87857143,4.681428571,15.19428571
8,DS11.02022,IA3023xTN05.3027,2556,1418,2596,2959,4144,5097,5256,2556.3,1418,2595.9,2959,4143.9,5097.1,5256.2,33.47,34.29,32.32,35.6,34.22,35.4,35.05,19.26,19.98,21.57,19.18,19.83,18.7,19.11,4.85,4.72,4.74,4.62,4.75,4.7,4.73,14,21.42,14.6,16.32,16.4,15,12.3,3432.342857,34.33571429,19.66142857,4.73,15.72
9,DS11.02023,IA3023xTN05.3027,2544,1558,4405,3141,4771,4643,5238,2543.5,1558.4,4404.9,3140.6,4770.6,4643.1,5238.5,33.05,33.18,33.04,34.17,34.83,35.4,37.06,19.13,19.52,19.92,19.02,19.17,17.8,17.14,4.98,4.86,4.81,4.83,4.72,4.9,4.71,12.7,15.23,10.6,13.42,12.7,13.1,9.8,3757.085714,34.39,18.81428571,4.83,12.50714286
10,DS11.02024,IA3023xTN05.3027,1693,1496,2831,3154,4818,5210,4890,1692.7,1496.2,2831.2,3154,4818.5,5210.5,4890.3,34.29,34.27,32.68,37.68,35.61,35.6,36.5,18.72,20.38,21.69,18.23,19.69,18.9,19.21,4.79,4.67,4.68,4.55,4.57,4.7,4.53,12,18.02,11.7,15.57,14.9,13.5,11.3,3441.914286,35.23285714,19.54571429,4.641428571,13.85571429
