id,progeny,PH2015,PH2016,Phmean
1,WM-800_009,75,71,73
2,WM-800_010,70,56,63
3,WM-800_011,89,80,84.5
4,WM-800_012,79,75,77
5,WM-800_013,78,75,76.5
6,WM-800_014,84,75,79.5
7,WM-800_015,88,81,84.5
8,WM-800_016,112,90,101
9,WM-800_017,107,99,103
10,WM-800_018,113,102,107.5
11,WM-800_019,111,92,101.5
12,WM-800_020,112,100,106
13,WM-800_021,110,91,100.5
14,WM-800_022,118,96,107
15,WM-800_023,110,95,102.5
16,WM-800_024,99,87,93
17,WM-800_025,97,92,94.5
18,WM-800_026,104,81,92.5
19,WM-800_027,120,104,112
20,WM-800_028,89,79,84
21,WM-800_029,75,62,68.5
22,WM-800_030,118,101,109.5
23,WM-800_031,111,89,100
24,WM-800_032,84,82,83
25,WM-800_033,102,92,97
26,WM-800_034,113,98,105.5
27,WM-800_035,112,106,109
28,WM-800_036,87,87,87
29,WM-800_037,78,69,73.5
30,WM-800_038,91,88,89.5
31,WM-800_039,103,85,94
32,WM-800_040,82,79,80.5
33,WM-800_041,68,64,66
34,WM-800_042,65,56,60.5
35,WM-800_043,90,76,83
36,WM-800_044,91,85,88
37,WM-800_045,86,74,80
38,WM-800_046,63,60,61.5
39,WM-800_047,100,87,93.5
40,WM-800_048,85,82,83.5
41,WM-800_049,105,89,97
42,WM-800_050,83,78,80.5
43,WM-800_051,91,82,86.5
44,WM-800_052,93,82,87.5
45,WM-800_053,90,79,84.5
46,WM-800_054,115,96,105.5
47,WM-800_055,87,73,80
48,WM-800_056,109,96,102.5
49,WM-800_057,101,88,94.5
50,WM-800_058,75,83,79
51,WM-800_059,95,91,93
52,WM-800_060,92,86,89
53,WM-800_061,96,86,91
54,WM-800_062,77,75,76
55,WM-800_063,84,78,81
56,WM-800_064,79,70,74.5
57,WM-800_065,92,83,87.5
58,WM-800_066,90,63,76.5
59,WM-800_067,93,86,89.5
60,WM-800_068,74,70,72
61,WM-800_069,107,88,97.5
62,WM-800_070,85,85,85
63,WM-800_071,88,88,88
64,WM-800_072,93,80,86.5
65,WM-800_073,72,74,73
66,WM-800_077,80,77,78.5
67,WM-800_078,78,72,75
68,WM-800_079,68,65,66.5
69,WM-800_080,73,60,66.5
70,WM-800_081,79,68,73.5
71,WM-800_082,89,75,82
72,WM-800_083,67,58,62.5
73,WM-800_084,93,81,87
74,WM-800_085,75,71,73
75,WM-800_086,78,72,75
76,WM-800_087,87,72,79.5
77,WM-800_088,80,69,74.5
78,WM-800_089,90,75,82.5
79,WM-800_090,103,75,89
80,WM-800_093,98,84,91
81,WM-800_094,125,99,112
82,WM-800_095,113,85,99
83,WM-800_096,83,77,80
